userId,Profit,Bet Count
fA69Wsm49IT0YQ1hC4rhBWSRxrC2,338.31326785825445,40
4NJ71tiyMweug9YDpJ7hmFhll4U2,337.19004909424234,2
uIMujZt2BDOdqOI13w7jVu5sJpD3,331.76198280628864,1
AeMggb9OqxYb3lrrayDNd8a4Iem2,329.21799100136263,152
N5ldp1GDkpORZTduCFhWBgHHuPf2,322.76147665093424,51
V4IZjwUApUW1iVaenAxFWFtPXjm2,322.2860191957375,11
I8RL18kpGaNZysFNZE72Xom8ZCj1,319.0525552517083,55
Vzg9qBAJ44RTeKAF16e2DvtsB672,316.40386029730485,19
WUZUgIMY8CNqrOHjsr7jpT1WXlJ2,312.84698402589584,6
Bxvjh3dQO4cetfqelNtaUNe6ZAf1,311.51206855928604,1
CoOIUXlq1sU1ADIXO2TfRRGdrl53,311.1913155396619,43
nJCU6Psdx4dguxSsfIbH0xsS3c23,310.10140096488044,16
y1dpcf4BaIVpxWSnox1v2V2nruV2,308.8432022058041,13
w6dqQcjaX0chXFHdzE7ShwhI4oG3,308.06935693026685,100
bzz0tiQRlBV6glFAO2f9930Pjbr1,304.36972319386996,20
5ZKbJZixV9OXCwZyWp2k2rEctr22,301.8768297986544,3
bJev65jsqOh8tUuwyg3Iz3urTyr2,297.3272025495726,174
V79m25eG3tOTow6vm5p9I42jl8M2,291.8164427077984,5
BOz42ZLioodixKSiJ2sPBSuuGPu2,289.6559600588391,38
us6Xkz5vMPMnDYpFrWjEjF1vhD22,285.9531090979606,4
tUosjZRN6GRv81uRksJ67EIF0853,285.87387667979,32
rwDF3r4MxFhhU12lyZNMtCwEjUE3,277.36177870403867,151
TY9E9lE7QJXsKiRntVVHlYwoVUh2,275.5962594229916,21
NjuvNtWwkxQGY7s8XrHvTMXGore2,273.13521037258306,27
VifksaORhbNKRGAy77Tb5cdqIm83,271.2967142935008,47
lFMiJopCqdOQHo8vLcM3n5Eqa0G3,269.0289647556408,16
MhBrCMFtZvcrlWDCOftKMAMHeeH3,266.52101427806633,134
n5vstIiQ3yZrYsEdcbjhHKSNJPk1,263.1569501660465,2
ZR3ZDt7aekdDLxMd8mLGxWav1Q22,261.4068610151635,27
pDiBKyB0kuSHy5MHNqzZFtibdLC2,261.25411854924323,20
plTqRUxNIoXD0vri3OWfE2kHZIf1,256.8205118089687,6
mSx6ZmA29kOypRYKhnARmzwTH9l2,248.8373799001704,4
vb01Hog1aLQGREEyimXfNaOVVcJ2,247.9113243900756,96
lQuXJ0BE7fgbwSvkRcQDZV6QVGb2,246.1052309907734,37
MRRE08RyObPan5Fi1rvHn2Ui9Ap2,239.99099428411319,34
SeBNUbviXSeuvQQkNn5v7zVZYEK2,239.74570061550094,10
nAh0sLLCIIR08PUNzEKM7AHhsP92,231.46923926951695,5
XWKst1ezREh4OdV17HUylhEHqMz2,225.4381867330378,6
iMOQVQ983KZoCs8NRolpA3MvkBt2,221.8478487973632,3
mczY11NsfefGsDaFoTwGk8z3Bac2,218.81562315835663,10
X6cWJJ3WNUWSrfgXSzwOOcgXeWz1,213.8929776474506,21
EpIIfxAuPVhFHKzVFs17YNLRBMO2,212.54868265754158,25
hagiM6VD5BWWEQcCGhwU92OJ6iq2,211.40698562885314,39
8W0dLqdKPWetefMs7VIAE70KH8h1,209.3825419978084,237
w7bL1NbllaevmlJTepVLTpAO60J3,208.69653318252222,6
cb9eu9ae9UdXMVDAlBhwYI3fX1v2,208.28339299601407,100
FpvBwqD3OTWTEksJ3JAWIFgZyFE3,206.38995511510188,3
9LVhsBPg7JWkJyLhSNjCYqJb1hx2,204.60436986723857,6
RmX75sT2MKRqniW7KpzKXWcqtYi2,204.46409362563304,100
nKo7WErUMLS6gvrPyds4XiVzhI72,200.0,3
tlmi6GEgqodhn37hfLRv4rB1ZFm2,198.41057351740756,382
r0sbWqFImahhjUNvD5ugzKi9AIh1,198.18182724806434,2
3RKrx5nT5dU1XABS8p2Zr7CWTxB3,197.4315464077163,9
FovC8o56tUXx2zv6mUVfUoplutJ3,197.092395320145,153
AF8Y7ze6gwWe0Q7UfPENTIYy7zs1,196.33662998267164,185
1qig0eC2FwfCAI3qQit1gyVgQox2,195.93731185360332,179
EzeURwPwIkcRobkvkffJM1lX8lG2,189.4016390957895,106
bsbAqaapSZVVXsRLN0XFzEH00Fa2,184.92247890396845,24
SzBVSSdIISXUlgKsEulbeSh9jQc2,184.42772701582362,39
7kFK7YxEXdaiuguKYNnDuEXJkru2,183.26793529062343,66
Kc7R8nRbBxbsRj5FSGzXjMPjHuj1,183.02554351948766,1
cvNqtNhd1jSwk6YD0CG0ze5edqw1,181.47826764410456,17
MYaPrlzxbWdikdih65zUw8uMmrm1,175.84487445969035,37
noY4QLUQGYTtLpo9GF5ym0HqjoR2,173.95913351171816,51
efucHdC1xqO2rKwfkMBPGUnrbi82,172.42131460889982,4
QRQMYtJUjbNz9DrDmXt9GmcB7uP2,171.6137824273493,3
3aYjZsftgnTtA4q1jBNcyQo66NZ2,169.21297473133973,1
qpeMMLxb2GZrmgm5FL9sGrApTo23,164.08013724056627,45
XJJbzH72S5hQVMRbiIItYgScK633,163.5764778449211,2
lDPkmLS8zLSn3AGWf66ub70X2I53,162.61801735373638,9
ARSSMqvJ03NBoPx7K49zBR3xWB33,161.83023898009674,4
s1T8K0kMJJgDBPcB89X2eL5eMfE2,161.36893654941025,110
RrQOcepa7KghtnAVp94A04OKPKD2,156.7335945663309,3
xyM3PBjh5xeSpKDqEqmgANh569s1,151.83217638931455,15
MdWzQiWxb4ZnS8XnVD692C1lZw82,150.64548274132994,171
s781n3rAGhYw6h7YPZNZzDftzJY2,150.0354241946966,22
zvXeAxB5FgfPCp5yLFsxpSlvhlr2,147.5326852236044,1
ml2cKkf0beVExNRaoWDczwlQUjp2,146.9530490469333,46
3dGItl2DwMW5K9bMw3wO64F8p602,146.68203930403297,13
59xJrCrMgbe13n8tMilI6em8wW42,146.0893528960197,15
mqOcNPXD8OZHXAy14AhNAAxOld52,144.89861525951778,5
uyAp8Azbtgdk4sSRnoUCDCiNryF2,144.56177837697373,1
H0kY5irTXrVxG8ht4dVLRrmdgvV2,141.4118485556844,74
uEY40az3WXXsvvB2Z698l63tXPi1,139.6388926395615,64
vo7BqqhCWuRyEednAdaEtSGxImy2,138.38963532442904,30
ifqe9zsWuHPGoqGPneoipwcwLmC2,137.83889913277335,25
vahb3OiuIMfZGXuQZrGAGB8OmFh1,135.73014281893256,10
iDFcaFdDCzbw4IE87er6PcRcFMO2,134.81522612034814,64
FykuS63Xq8avP7o68G1j3w0kXAJ3,134.4542065462913,2
OW0BQn4Gn5QSjPDYurwf5ftJfg13,132.36344619096548,7
IMR9nyeluIbOpz8nXCrwyoaD2fk2,130.2592255670936,5
ADOwbq8KsncXcBNffdjKCbpDbB62,129.35476283527214,100
ELTjUTjCt3gA4Dd1fJQBOWlEL1F3,128.68530087137617,24
33o8NBw56lTy2ESISiLlCemTv0l1,125.30775904962229,77
Nj0IL6RemaXwtuKDvyIq7kGtsXD2,122.70439459407771,1
9Jqj6d8DSLW1kxoHPpE8Hzcj9E33,121.8330040016458,30
jqqySdPMOuZwvgjymXDvNIV7KOm1,120.56369258583982,5
Uj3npXPrVnRcONPQ37NySm9jhdh1,119.4388837668389,5
W8GidEZ0FvfwoG43CAp4xsfrqUB3,118.94765430698897,14
5ZUoSVUnKCPK1OPJy5u36WYEiUs2,118.51147002268749,4
3EGPTFgV6zet3zKw3Z9CwpM8EGn1,117.9928548919172,14
IYyKFBqJqIcdNBy5RZ05arvTyKu2,116.40883509455125,3
uFVEyqiQscWZ7krm1ppyIYlefBY2,116.11311971746227,106
O6xwqEqmcbae4grgjdfsKIs4f8I3,115.03746137831263,5
g4eksaE0bib8NBQrHc6mx29wFRG2,112.55567410126048,49
