amount,isCancelled,probBefore,userId,probAfter,loanAmount,shares,orderAmount,contractId,isFilled,createdTime,id_x,outcome,fees_liquidityFee,fees_creatorFee,fees_platformFee,fills_shares,fills_amount,fills_matchedBetId,fills_timestamp,isRedemption,fills_isSale,limitProb,fills,isLiquidityProvision,resolution,question,Accuracy
-1.0607935116512716e-13,,0.9330838405839271,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.9330838405839271,0.0,-1.1368683772161603e-13,,1Kt8elA6zGkcqrIAw8w0,,1676578504439,xPfeRXxxAOPXN8ER4adb,YES,0,0.0,0,,,,,True,,,,,YES,Biden Cabinet Official Out by Summer?,RIGHT
1208.0,False,0.7041928846132016,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.8497355463014133,0.0,1517.3987651291995,1208.0,1Kt8elA6zGkcqrIAw8w0,True,1675785739075,zVA2fCyHqOJ7j4JmK0w4,YES,0,17.979018963179257,0,1517.3987651291995,1208.0,,1675785739074.0,,,,,,YES,Biden Cabinet Official Out by Summer?,RIGHT
-83.19177618588526,False,0.7840964002603696,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.8119632429217729,0.0,-446.4688666596105,-83.19177618588526,1St9Mgnfkyhvmd6rQuUM,True,1667917224225,II0ySUysW90sJJoyx8wL,NO,0,6.813458808076535,0,-446.4688666596105,-83.19177618588526,,1667917224225.0,,True,,,,YES,Will Trump Announce in 2022?,WRONG
250.0,False,0.4928951033897298,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.43589155109254596,0.0,446.4688666596105,250.0,1St9Mgnfkyhvmd6rQuUM,True,1662413938933,rFctEBZeEFPqSWSVCTBY,NO,0,10.836799224869385,0,446.4688666596105,250.0,,1662413938932.0,,,,,,YES,Will Trump Announce in 2022?,WRONG
90.0,False,0.2091610890962218,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.234345466041477,0.0,375.3525283888248,90.0,3aXw3Pea3nxSQokSFRP2,True,1686319364944,47FMBxXDbJwKbG08YXT9,YES,0,6.871937476153503,0,375.3525283888248,90.0,,1686319364943.0,,,,,,NO,Trump Back on Twitter between April and July?,WRONG
100.0,False,0.18786241292148895,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.18786241292148895,0.0,625.0,100.0,3aXw3Pea3nxSQokSFRP2,True,1686575705041,6Yiruq3CaNWMLmnzd55v,YES,0,0.0,0,533.5836488748133,85.37338381997013,vOPB1ai5F75Rsw7Ht0yR,1686952363670.0,,,0.16,,,NO,Trump Back on Twitter between April and July?,WRONG
100.0,False,0.18786241292148895,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.18786241292148895,0.0,625.0,100.0,3aXw3Pea3nxSQokSFRP2,True,1686575705041,6Yiruq3CaNWMLmnzd55v,YES,0,0.0,0,91.4163511251867,14.62661618002987,ooOfFRjmK8GZNc8Wc01I,1688142123526.0,,,0.16,,,NO,Trump Back on Twitter between April and July?,WRONG
0.0,True,0.4611656402555412,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.4611656402555412,0.0,0.0,169.0,3aXw3Pea3nxSQokSFRP2,False,1683380100436,AQMizxSWO1xjg9RpYgHY,YES,0,0.0,0,,,,,,,0.31,[],,NO,Trump Back on Twitter between April and July?,WRONG
150.0,False,0.32,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.3636327808179476,0.0,411.52328462633204,150.0,3aXw3Pea3nxSQokSFRP2,True,1685629395337,Fc9TDFh1MAF4VxmjtDft,YES,0,9.501695507590702,0,411.52328462633204,150.0,,1685629395337.0,,,,,,NO,Trump Back on Twitter between April and July?,WRONG
-129.75613129962449,False,0.11074856409598573,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.0792219884332795,0.0,-1500.2732163551555,-129.75613129962449,3aXw3Pea3nxSQokSFRP2,True,1689993512018,GLmK7cKVy49mTWoNrtGo,YES,0,10.831144276945276,0,-1500.2732163551555,-129.75613129962449,,1689993512018.0,,True,,,,NO,Trump Back on Twitter between April and July?,WRONG
200.0,False,0.3920950427658386,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.44772185352256005,0.0,450.52643559806324,200.0,3aXw3Pea3nxSQokSFRP2,True,1682751516539,W21PAAZ0MOCoHrgKRaXZ,YES,0,10.982897528828984,0,450.52643559806324,200.0,,1682751516537.0,,,,,,NO,Trump Back on Twitter between April and July?,WRONG
-36.6800893512611,False,0.16550926203749106,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.15442810196804685,0.0,-250.0,-36.6800893512611,3aXw3Pea3nxSQokSFRP2,True,1689030588685,WvN7aXfm9TGt9XWfCMz9,YES,0,3.2907492026170417,0,-250.0,-36.6800893512611,,1689030588685.0,,True,,,,NO,Trump Back on Twitter between April and July?,WRONG
-52.70085992437578,False,0.17388202840148634,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.15780400415444498,0.0,-346.0,-52.70085992437578,3aXw3Pea3nxSQokSFRP2,True,1688994233214,i62iLr7RlIruWRMhWXQ5,YES,0,4.6213760933642165,0,-346.0,-52.70085992437578,,1688994233213.0,,True,,,,NO,Trump Back on Twitter between April and July?,WRONG
150.0,False,0.3636327808179476,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.3636327808179476,0.0,483.87096774193554,150.0,3aXw3Pea3nxSQokSFRP2,True,1685629406095,udsnglShm1ecCSTVvaXU,YES,0,0.0,0,144.57074819143853,44.81693193934594,IeiKpiievHzeESoSy9ei,1685975258918.0,,,0.31,,,NO,Trump Back on Twitter between April and July?,WRONG
150.0,False,0.3636327808179476,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.3636327808179476,0.0,483.87096774193554,150.0,3aXw3Pea3nxSQokSFRP2,True,1685629406095,udsnglShm1ecCSTVvaXU,YES,0,0.0,0,184.9980843626372,57.34940615241753,0cnkAZZK0eWmTmNHbl6n,1685986059594.0,,,0.31,,,NO,Trump Back on Twitter between April and July?,WRONG
150.0,False,0.3636327808179476,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.3636327808179476,0.0,483.87096774193554,150.0,3aXw3Pea3nxSQokSFRP2,True,1685629406095,udsnglShm1ecCSTVvaXU,YES,0,0.0,0,76.45319304799895,23.700489844879673,mIZqtt8YlfphZWTsU4Ea,1686093236048.0,,,0.31,,,NO,Trump Back on Twitter between April and July?,WRONG
150.0,False,0.3636327808179476,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.3636327808179476,0.0,483.87096774193554,150.0,3aXw3Pea3nxSQokSFRP2,True,1685629406095,udsnglShm1ecCSTVvaXU,YES,0,0.0,0,77.84894213986087,24.13317206335687,h1vxKbluAKjI5ISIaxS4,1686093277934.0,,,0.31,,,NO,Trump Back on Twitter between April and July?,WRONG
-39.39174754145512,False,0.17766636241093686,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.16550926203749106,0.0,-250.0,-39.39174754145512,3aXw3Pea3nxSQokSFRP2,True,1689030574546,vsSWI7McQTY6HEE95rsf,YES,0,3.4816874962608924,0,-250.0,-39.39174754145512,,1689030574546.0,,True,,,,NO,Trump Back on Twitter between April and July?,WRONG
0.0,True,0.4129095983374027,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.4129095983374027,0.0,0.0,250.0,3ansLD74SqUuBFn8S5pl,False,1677372215761,AKRgxkPCQyHDTInqjCF7,YES,0,0.0,0,,,,,,,0.15,[],,NO,"China Reaches 100,000 Covid Cases by Winter?",WRONG
